"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"85b5dabd-070b-40a3-8359-c5a843bcc10f","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Βαρβαρικὴ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::49;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::58","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective","inhabitants of ""Barbarike"" (""the lands between the coast of the Red Sea and the Nile Valley"" -  Casson 2012); no result in area|read further in Casson commentary; region was called Trogodytice by other geographers","",""
"1e95470d-8269-4297-bcc2-d9f7c9d95665","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","χώρα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::59;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::63","","","","","","","","","geoname","","",""
"489f53ae-986b-4edb-be5b-e8c52573d81c","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","θάλασσαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::83;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::91","","","","","","","","","geoname","","",""
"d5d01d84-f6a5-495a-887b-f0a7ea9cabad","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἰχθυοφάγων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::92;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::102","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective|epithet","inhabitants of Barbarike|Added pleiades entry for this population, although it's unlocated. Another suitable match is ID 766372, but currently not included in Recogito.","",""
"912f1a23-e8bc-4b0e-a6a5-70a24e9ac446","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Βαρβάρων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::191","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective","","",""
"9df35b6c-eb80-4c30-846d-331ae746c875","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἀγριοφάγων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::212;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::222","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective|epithet","","",""
"d3028b57-4f0d-4fb4-a93b-05e7c3ab240c","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Μοσχοφάγων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::227;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::237","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective|epithet","","",""
"0266c3f8-f9f7-4ebf-89f4-64123a38cc00","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","πρὸς δύσιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::307;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::317","","","","","","","","","orientation|absolute","","",""
"a85a44e0-8e8e-427a-a019-d07058a9ebb4","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","μητρόπολις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]/add[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]/add[1]::10","","","","","","","","","geoname","","",""
"0cdf0747-8874-4527-9c3d-aad5e669949d","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Μερόη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]/add[1]::20;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]/add[1]::25","PLACE","http://pleiades.stoa.org/places/805630","Meroe|Meroe, Begrawiya","-0550/2100","16.94","33.75","settlement","VERIFIED","","","",""
"a42dd370-7b79-4014-9e7b-a16fb5b0bc04","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Μοσχοφάγους","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::14;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::25","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective|epithet","","",""
"0a9488c8-716b-45ed-8e03-e718c8be81ac","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","θαλάσσης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::30;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::38","","","","","","","","","geoname","","",""
"5831ec77-d3de-4e6b-9397-6eca54d66b18","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐμπόριόν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::46;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::54","","","","","","","","","geoname","","",""
"e86ac107-5ac1-4cd1-a67a-70684a5ce3e4","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","σταδίους περὶ τετρακισχιλίους","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::95;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::124","","","","","","","","","distance","","",""
"52634f4f-ee64-4d52-a382-26606421f716","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Πτολεμαῒς ἡ τῶν θηρῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::126;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::147","PLACE","http://pleiades.stoa.org/places/39409","Ptolemais Theron|Ptolemais Theron, Trinkatat","-0030/0300","18.222236","38.184316","settlement,port","VERIFIED","","","",""
"e1b187d5-da02-4425-bb44-73536216c8e8","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Πτολεμαίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::172;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::182","PLACE","http://pleiades.stoa.org/places/39409","Ptolemais Theron|Ptolemais Theron, Trinkatat","-0030/0300","18.222236","38.184316","settlement,port","VERIFIED","@ana:#collective","","",""
