"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1eafc17c-6d56-4864-bd9b-77514685c6e1","herodotus_book-2.xml","Κυρηναίῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[96]/div[1]/p[1]::104;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[96]/div[1]/p[1]::112","PLACE","http://pleiades.stoa.org/places/373778","Cyrene|Cyrene, Shahhat","-0750/2100","32.818736","21.856169","settlement","VERIFIED","location","","",""
"eefeff73-9de7-48ed-ab0d-1ed0ef4c3ffa","herodotus_book-2.xml","Νεῖλος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::18;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::24","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","location","","",""
"ba58be66-73f8-4988-8dd7-a557a2ae57f2","herodotus_book-2.xml","Αἰγαίῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::107;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::113","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","location","","",""
"2d60d91b-1bc4-4ce7-bc38-b08278792364","herodotus_book-2.xml","Αἰγύπτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::149;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[1]/p[1]::157","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"defd8550-dad9-4a65-aea8-32a90f33b776","herodotus_book-2.xml","Μέμφιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::17","PLACE","http://pleiades.stoa.org/places/736963","Memphis|Memphis, Mit Rahina","-6000/2000","29.849667","31.254278","settlement,urban","VERIFIED","location","","",""
"30c3f8b6-1a33-4a95-bf5e-a3666387a62b","herodotus_book-2.xml","Ναυκράτιος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::21;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::31","PLACE","http://pleiades.stoa.org/places/727169","Naucratis|Naukratis/Naucratis, Kom el-Geif","-0750/2100","30.89722","30.5925","settlement","VERIFIED","location","","",""
"74548229-dbd6-44b4-b566-2e674f7267e3","herodotus_book-2.xml","πυραμίδας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::58;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::67","PLACE","http://pleiades.stoa.org/places/979282842","The Giza Necropolis","1700/2100","29.976111","31.132778","cemetery","VERIFIED","location","","",""
"7e48156d-a79d-4dbd-adab-82e3cb2edc9d","herodotus_book-2.xml","Δέλτα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::126;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::131","PLACE","http://geo-kima.org/place/4625","Nile River Delta (Egypt)","","","","","VERIFIED","location","","",""
"6fe7d84b-f5f7-482e-b6a5-0a35c4c03076","herodotus_book-2.xml","Κερκάσωρον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::141;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::151","PLACE","http://pleiades.stoa.org/places/727142","Kerkasoros|Kerkasoros, Rod el-Farag","-0750/0640","30.09313","31.2187","settlement","VERIFIED","location","","",""
"e406851e-63fa-4e2d-95cf-84956b059264","herodotus_book-2.xml","Ναύκρατιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::165;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::174","PLACE","http://pleiades.stoa.org/places/727169","Naucratis|Naukratis/Naucratis, Kom el-Geif","-0750/2100","30.89722","30.5925","settlement","VERIFIED","location","","",""
"12ee07ed-15a2-4968-8763-89dfacfbda9c","herodotus_book-2.xml","Κανώβου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::192;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::199","PLACE","http://pleiades.stoa.org/places/727097","Canopus|Kanopos/Kanobos/Canopus, Abuqir","-0750/0640","31.320896","30.063645","settlement","VERIFIED","location","","",""
"7a3e337f-7714-442d-9050-e01467d32993","herodotus_book-2.xml","Ἄνθυλλάν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::228;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::236","PLACE","http://pleiades.stoa.org/places/727073","Anthylla|Anthylla, Barrington Atlas grid 74 C2","-0550/0300","31.16413","30.20803","settlement","VERIFIED","location","","",""
"6cec74c1-43bd-4a0e-ac87-6937ef618fe4","herodotus_book-2.xml","Ἀρχάνδρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::254;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[97]/div[2]/p[1]::263","PLACE","http://pleiades.stoa.org/places/727076","Archandropolis|Archandropolis, Tell Louquin?","-0330/0300","31.02814","30.39934","settlement","VERIFIED","location","","",""
"8e545127-8d04-43db-8ff2-2f2c1071d0b1","herodotus_book-2.xml","Ἄνθυλλα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::17;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::24","PLACE","http://pleiades.stoa.org/places/727073","Anthylla|Anthylla, Barrington Atlas grid 74 C2","-0550/0300","31.16413","30.20803","settlement","VERIFIED","location","","",""
"a1c01d35-a9de-4207-9b79-20ec3579b5fc","herodotus_book-2.xml","Αἰγύπτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::97;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::105","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"b1ab2331-794c-46ba-9e5f-b8d13e247558","herodotus_book-2.xml","Πέρσῃσι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::147;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::154","PLACE","","","","","","","NOT_IDENTIFIABLE","location","The ancient empire of Persia spanned across much of Asia minor and further east.","",""
"51de0410-9a22-4ef0-83f5-77b8816e534c","herodotus_book-2.xml","Αἴγυπτος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::160;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[1]/p[1]::168","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"425132da-cebd-4633-9687-011524ceb31b","herodotus_book-2.xml","Δαναοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::53;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::59","PERSON","","","","","","","","Danaus|person|mythological","","",""
"bdcec7b4-5d02-4cd3-ada6-64836b4f1454","herodotus_book-2.xml","Ἀρχάνδρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::68;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::77","PERSON","","","","","","","","Arkhandrus|person|mythological","","",""
"83311d53-3b64-4203-9f69-2f8f618e51fe","herodotus_book-2.xml","Φθίου τοῦ Ἀχαιοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::82;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::98","PERSON","","","","","","","","Phthius|person|mythological","","",""
"8ca37d42-5f3b-45bd-8001-3a3b2964820d","herodotus_book-2.xml","Ἀρχάνδρου πόλις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::116;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::131","PLACE","http://pleiades.stoa.org/places/727076","Archandropolis|Archandropolis, Tell Louquin?","-0330/0300","31.02814","30.39934","settlement","VERIFIED","location","","",""
"ed1bf419-89a5-49b8-b9ab-f0124b4223a0","herodotus_book-2.xml","Ἄρχανδρος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::157;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::166","PERSON","","","","","","","","Arkhandrus|person|mythological","","",""
"16a79996-1b19-4c41-922b-45c9ba7b62af","herodotus_book-2.xml","Αἰγύπτιον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::181;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[98]/div[2]/p[1]::190","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"240b65c2-0142-439e-bcf1-b6ff5f80fee8","herodotus_book-2.xml","Αἰγυπτίους","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[1]/p[1]::87;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[1]/p[1]::97","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"689c487c-8e84-4202-a8ad-9cec33d402d9","herodotus_book-2.xml","Μῖνα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::1;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::5","PERSON","","","","","","","","Menes|person","","",""
"60946636-e8cb-48f4-99bb-9e00e3289106","herodotus_book-2.xml","Αἰγύπτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::30;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::38","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"088e1141-5632-4189-87e2-fb61b6573f8d","herodotus_book-2.xml","Μέμφιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::82;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::88","PLACE","http://pleiades.stoa.org/places/736963","Memphis|Memphis, Mit Rahina","-6000/2000","29.849667","31.254278","settlement,urban","VERIFIED","location","","",""
"b9b49bdb-414b-4d85-8080-8d6fd1de701f","herodotus_book-2.xml","Λιβύης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::148;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::154","PLACE","","","","","","","NOT_IDENTIFIABLE","location","The ancient region of Libya is in reference to the modern continent of Africa.","",""
"f9f83068-061f-45ff-89ac-4638d5e7d2f6","herodotus_book-2.xml","Μῖνα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::163;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::167","PERSON","","","","","","","","Menes|person","","",""
"609223b1-ac44-4679-8264-94e4431a5645","herodotus_book-2.xml","Μέμφιος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::204;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[2]/p[1]::211","PLACE","http://pleiades.stoa.org/places/736963","Memphis|Memphis, Mit Rahina","-6000/2000","29.849667","31.254278","settlement,urban","VERIFIED","location","","",""
"8045c41f-4c12-41ad-8619-77bde16bbcb9","herodotus_book-2.xml","Περσέων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::20;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::27","PLACE","","","","","","","NOT_IDENTIFIABLE","collective|ethnic","The ancient empire of Persia spanned across much of Asia minor and further east.","",""
"a40aa178-60eb-4c0f-8165-e7c33f2a5071","herodotus_book-2.xml","Νείλου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::46;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::52","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","location","","",""
"47cd3f4b-a48e-44b2-8231-f1aa3b41c527","herodotus_book-2.xml","Μέμφι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::189;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[3]/p[1]::194","PLACE","http://pleiades.stoa.org/places/736963","Memphis|Memphis, Mit Rahina","-6000/2000","29.849667","31.254278","settlement,urban","VERIFIED","location","","",""
"989d5192-77f2-45d6-8a81-d37c46e02bf2","herodotus_book-2.xml","Μῖνι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[4]/p[1]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[4]/p[1]::14","PERSON","","","","","","","","Menes|person","","",""
"776b1158-93d9-4f2a-b224-71aae9bfa559","herodotus_book-2.xml","Μέμφις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[4]/p[1]::126;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[99]/div[4]/p[1]::132","PLACE","http://pleiades.stoa.org/places/687963","Mampsis|Mampsis, Mamshit, Kurnub","-0330/0640","31.025315","35.064432","settlement","VERIFIED","location","","",""
