UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
5fe35637-19d6-4e5b-a74e-35d457d8cf8b,anabasis_book5_english.txt,Cyrus,char-offset:45415,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
9d553633-1f5b-47bb-a8f0-16bdc5c81d16,anabasis_book5_english.txt,Timasion the Dardanian,char-offset:45671,PERSON,,,,,,,,timasion|person,timasion,person,,,,,"He has a Wikipedia article in Italian and Catalan, but since this project focuses on English only he will go unlinked.",,
56bffd17-f7d4-480e-8f53-c442690d8b8e,anabasis_book5_english.txt,the Dardanian,char-offset:45680,PLACE,http://pleiades.stoa.org/places/501393,"Dardanos|Dardanos, Dardanos",-0750/0300,40.071124,26.385172,settlement,VERIFIED,Dardanus|person|ethnic|region,https://en.wikipedia.org/wiki/Dardanus_(city),person,ethnic,region,,,,,
3cfa84cb-0721-4abd-9cc1-2b77f34d68d8,anabasis_book5_english.txt,Thorax the Boeotian,char-offset:45698,PERSON,,,,,,,,thorax|person,thorax,person,,,,,,,
5f0ce22a-9a31-41b0-8444-0718bb95ae2f,anabasis_book5_english.txt,the Boeotian,char-offset:45705,PLACE,http://pleiades.stoa.org/places/540689,Boeotia,-0550/0300,38.34668803333333,23.18467753333333,region,VERIFIED,Boeotia|person|ethnic|region,https://en.wikipedia.org/wiki/Boeotia,person,ethnic,region,,,,,
f4f8a86e-0102-4d52-aef0-f0437c53eb3a,anabasis_book5_english.txt,Heracleot,char-offset:45731,PLACE,http://pleiades.stoa.org/places/844944,"Heraclea|Heraclea/Herakleia, Karadeniz Ereğli",-0550/0640,41.284722,31.414722,settlement,VERIFIED,Heracleia|collective|ethnic|referenced,https://en.wikipedia.org/wiki/Heraclea_Pontica,collective,ethnic,,referenced,,,,
87563d92-63c0-4dbb-93c9-420aebece67d,anabasis_book5_english.txt,Sinopean,char-offset:45745,PLACE,http://pleiades.stoa.org/places/857321,"Sinope|Sinope, Sinop",-1750/2000,42.0206,35.14885,"settlement,port",VERIFIED,Sinope|collective|ethnic|referenced,"https://en.wikipedia.org/wiki/Sinop,_Turkey",collective,ethnic,,referenced,,,,
50780c99-48e5-424a-9650-77ec738db4ed,anabasis_book5_english.txt,Cotyora,char-offset:45883,PLACE,http://pleiades.stoa.org/places/857200,"Kotyora|Kotyora, Ordu",-0550/0640,41.000154,37.875188,settlement,VERIFIED,Cotyora|location|visited,https://en.wikipedia.org/wiki/Ordu,location,,,visited,,,,
b2049f17-9143-4513-a604-4f000ce75cef,anabasis_book5_english.txt,Pontus,char-offset:45947,PLACE,http://pleiades.stoa.org/places/857287,Pontus,-0550/0640,40.5,36.5,region,VERIFIED,Pontus|location|region,https://en.wikipedia.org/wiki/Pontus_(region),location,,region,,,,,
12b2d32c-20cf-4daf-a9aa-7ed47e4c34c6,anabasis_book5_english.txt,Xenophon,char-offset:45960,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
