UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
5ae6e296-674b-4d33-891e-7e504d993dbf,anabasis_book7_english.txt,Seuthes,char-offset:68923,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
f5c3e12b-93de-473e-91b2-be1084a32ce7,anabasis_book7_english.txt,Lacedaemonians,char-offset:69113,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
b7e6f36c-e2a2-42d8-b264-d9f86d5e1c6a,anabasis_book7_english.txt,Eurylochus of Lusi,char-offset:69189,PERSON,,,,,,,,eurylochus|person,eurylochus,person,,,,,,,
f9093892-d8de-43cd-9bec-72115ef68861,anabasis_book7_english.txt,of Lusi,char-offset:69200,PLACE,http://pleiades.stoa.org/places/570438,"Lousoi|Lousoi, Lousiko/Chamakou",-0750/0300,37.9719,22.1121,"sanctuary,spring,settlement",VERIFIED,Lusi|person|ethnic|referenced,https://en.wikipedia.org/wiki/Lusi_(Arcadia).,person,ethnic,,referenced,,,,
72e3f29d-3cf8-4dbc-b0f8-4bac9bb0982e,anabasis_book7_english.txt,Lacedaemon,char-offset:69251,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|location|region,https://en.wikipedia.org/wiki/Sparta.,location,,region,,,,,
eed916b8-83b6-4179-86ec-2bc7949cc2d4,anabasis_book7_english.txt,Seuthes,char-offset:69365,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
74d04643-af0a-49ef-9781-ff5a6c565d9e,anabasis_book7_english.txt,Polycrates the Athenian,char-offset:69468,PERSON,,,,,,,,polycrates|person,polycrates,person,,,,,,,
7b7aa9f3-6494-4bc3-89d2-2c166deba15f,anabasis_book7_english.txt,the Athenian,char-offset:69479,PLACE,http://pleiades.stoa.org/places/579885,"Athenae|Athenae, Athína",-0750/2100,37.971687,23.726464,settlement,VERIFIED,Athens|person|ethnic|referenced,https://en.wikipedia.org/wiki/Athens.,person,ethnic,,referenced,,,,
51b49386-f22c-41d7-8ba3-f93540d9e73b,anabasis_book7_english.txt,Xenophon,char-offset:69520,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
2482282e-d5cd-4db6-a1d7-15ef4ebb445e,anabasis_book7_english.txt,Heracleides,char-offset:69564,PERSON,,,,,,,,Heracleides|person,https://en.wikipedia.org/wiki/Heracleides_of_Maroneia.,person,,,,,,,
